"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","last_modified","latitude","longitude"
"99",1815326,9508341,"Private room",NA,"Brighton",141,4.5,2,1,99,NA,"2017-01-14 08:19:44.616321",42.355088,-71.16242
"100",1821633,7799789,"Private room",NA,"Dorchester",140,5,2,1,100,NA,"2017-01-14 08:19:36.068200",42.309577,-71.047923
"101",6676364,13382900,"Private room",NA,"Longwood Medical Area",202,5,1,1,84,NA,"2017-01-14 08:19:36.063451",42.338869,-71.1071
"102",1147871,1407005,"Private room",NA,"East Boston",265,4.5,2,1,95,NA,"2017-01-14 08:19:33.059609",42.377612,-71.035198
"103",336960,1713739,"Private room",NA,"Jamaica Plain",158,4.5,3,1,80,NA,"2017-01-14 08:18:51.753576",42.289653,-71.114721
"104",447826,2053557,"Private room",NA,"Jamaica Plain",209,5,2,1,71,NA,"2017-01-14 08:18:07.817679",42.317134,-71.10966
"105",1171578,3765817,"Private room",NA,"Brighton",127,5,2,1,99,NA,"2017-01-14 08:20:19.875324",42.35384,-71.167947
"106",4263736,11228809,"Private room",NA,"Roxbury",110,5,2,1,65,NA,"2017-01-14 08:17:01.760403",42.32943,-71.093075
"107",60029,255183,"Private room",NA,"Roxbury",113,5,1,1,75,NA,"2017-01-14 08:16:42.227197",42.325842,-71.089269
"108",2698996,13812113,"Private room",NA,"Jamaica Plain",146,5,2,1,66,NA,"2017-01-14 08:16:31.343887",42.31568,-71.115201
"109",1112067,6103425,"Private room",NA,"Dorchester",145,4.5,2,1,73,NA,"2017-01-14 08:16:30.165964",42.304539,-71.061036
"110",4586590,21890476,"Private room",NA,"South Boston",117,5,2,1,99,NA,"2017-01-14 08:19:33.038993",42.330251,-71.05624
"111",2295530,11725202,"Private room",NA,"Jamaica Plain",138,5,3,1,89,NA,"2017-01-14 08:19:33.025076",42.317786,-71.105136
"112",225224,85770,"Private room",NA,"South End",210,4.5,1,1,98,NA,"2017-01-14 08:19:30.527696",42.346428,-71.07503
"113",8720718,45771009,"Private room",NA,"Jamaica Plain",110,5,2,1,85,NA,"2017-01-14 08:19:30.502286",42.315694,-71.106209
"114",318050,1632478,"Private room",NA,"South End",194,5,2,1,99,NA,"2017-01-14 08:19:30.497822",42.339796,-71.078534
"115",1115394,884747,"Private room",NA,"Jamaica Plain",205,5,2,1,91,NA,"2017-01-14 08:19:29.082902",42.310009,-71.101764
"116",6870366,13382900,"Private room",NA,"Longwood Medical Area",184,5,1,1,84,NA,"2017-01-14 08:19:29.075755",42.33902,-71.106641
"117",1178162,1407005,"Private room",NA,"East Boston",252,4.5,2,1,95,NA,"2017-01-14 08:19:29.071234",42.377796,-71.034666
"118",6452246,14007443,"Private room",NA,"Chinatown",117,5,2,1,99,NA,"2017-01-14 08:19:27.732324",42.349555,-71.061881
"119",1881298,1920539,"Private room",NA,"Jamaica Plain",221,5,2,1,90,NA,"2017-01-14 08:19:27.724663",42.300264,-71.111807
"120",5882411,18807469,"Private room",NA,"Jamaica Plain",118,5,2,1,62,NA,"2017-01-14 08:19:09.251198",42.298471,-71.110658
"121",72811,378555,"Private room",NA,"Allston",127,4.5,2,1,62,NA,"2017-01-14 08:12:45.641979",42.356861,-71.130578
"122",3601424,18145041,"Private room",NA,"Brighton",110,5,2,1,78,NA,"2017-01-14 08:12:42.056727",42.352881,-71.158183
"123",8228903,28820575,"Private room",NA,"Roxbury",117,4.5,2,1,65,NA,"2017-01-14 08:14:37.896394",42.331038,-71.094559
"124",6240901,32373289,"Private room",NA,"Fenway",111,3.5,1,1,68,NA,"2017-01-14 08:12:27.212304",42.338324,-71.094842
"125",77691,119019,"Private room",NA,"Dorchester",213,4.5,3,1,65,NA,"2017-01-14 08:12:23.980422",42.297709,-71.059791
"126",205894,119019,"Private room",NA,"Dorchester",142,4.5,2,1,65,NA,"2017-01-14 08:12:23.949376",42.298491,-71.058802
"127",1112193,6103425,"Private room",NA,"Dorchester",147,4.5,2,1,65,NA,"2017-01-14 08:12:23.303292",42.298876,-71.064891
"128",2764624,6103425,"Private room",NA,"Dorchester",130,4.5,4,1,71,NA,"2017-01-14 08:12:23.298890",42.30301,-71.063549
"129",220676,1144302,"Private room",NA,"North End",169,5,5,1,69,NA,"2017-01-14 08:12:22.469654",42.36539,-71.054382
"130",57800,68870,"Private room",NA,"East Boston",213,4.5,1,1,70,NA,"2017-01-14 08:12:19.992962",42.383021,-71.000332
"131",20000,68870,"Private room",NA,"East Boston",295,4.5,2,1,75,NA,"2017-01-14 08:12:16.101648",42.383828,-71.000381
"132",3693850,18807469,"Private room",NA,"Jamaica Plain",189,5,2,1,62,NA,"2017-01-14 08:12:14.187562",42.299824,-71.112572
"133",177129,847253,"Private room",NA,"Dorchester",132,4.5,3,1,69,NA,"2017-01-14 08:12:14.178588",42.293428,-71.067731
"134",1454258,7799789,"Private room",NA,"Dorchester",178,5,2,1,80,NA,"2017-01-14 08:12:12.827730",42.308439,-71.046396
"135",8252058,42838239,"Private room",NA,"East Boston",133,5,2,1,80,NA,"2017-01-14 08:12:12.164001",42.37208,-71.031983
"136",2014882,1521296,"Private room",NA,"Brighton",117,4.5,4,1,65,NA,"2017-01-14 08:12:08.421317",42.341261,-71.157173
"137",200265,847253,"Private room",NA,"Dorchester",125,4.5,3,1,79,NA,"2017-01-14 08:12:08.408887",42.293626,-71.066521
"138",7880828,41542719,"Private room",NA,"East Boston",106,4.5,1,1,69,NA,"2017-01-14 08:12:07.213867",42.377833,-71.030262
"139",1178106,1407005,"Private room",NA,"East Boston",273,4.5,2,1,77,NA,"2017-01-14 08:12:05.844158",42.376689,-71.034282
"140",1885386,92630065,"Private room",NA,"Jamaica Plain",135,5,2,1,78,NA,"2017-01-14 08:12:05.148008",42.308852,-71.116432
"141",5940866,12720679,"Private room",NA,"East Boston",156,5,2,1,75,NA,"2017-01-14 08:12:04.355305",42.376193,-71.03354
"142",2798787,13372537,"Private room",NA,"Jamaica Plain",119,5,2,1,75,NA,"2017-01-14 08:12:02.676280",42.324514,-71.105406
